,id,comment
0,545625186,['Помянем срочников']
1,42653787,['слышь служить']
2,118793196,['Кто прочитал тот попадет в рай']
3,225851917,"['Кто прочитал, тот попал в ДНР', 'Запрет экспорта высоких технологий из ДНР', '1853-2022. Можем повторить.', 'В Украине уже все забыли про Правый Сектор, зато Пыня восьмой год не может забыть.']"
4,596620671,['Лучше СМСкой.']
5,53745,"['Да что там делать в этом военкомате? Скучное место с плохим ремонтом. Да и что там, мёдом намазано? Зачем идти туда? Не ходите!']"
6,569718812,"['Че зумерки, страшно? Ничего, послужите, а мы займемся вашими зумершами.', 'А против 99 не ввел. Лица коллег представили, когда кто-то сгонял на недельку в Монако, а кто-то нет.']"
7,425881183,"['Блин, ребят, фиг с ним. Скажите как Муссона в мгр победить пж']"
8,307149531,['Программа по обмену срочниками с лднр будет?']
9,183156311,"['Ну, с праздником!']"
10,449900112,['С ПРАЗДНИКОМ МУЖИКИ!!!! ЭТо лучший подарок на 23 февраля!']
11,373139859,['']
12,500418628,['']
13,290898901,"['Если не фейк, то это писдес))) Запарятся теперь от санкций отмываться)) Дети домой, деньги заблокированы... всё к этому и шло.']"
14,532417456,['']
15,1541640,['Ещё бы пропагандонов с семьями бы разлучили....']
16,94771722,"['красота, осталось всех выселить оттуда 😁']"
17,26748482,"['Да ладно, всем же известно, что у депутатов в основном иностранное гражданство- это гражданство стран СНГ и активы там же']"
18,41590957,['']
19,35774108,"['Скидываемся пацаны, мы русские, своих не бросаем']"
20,25074068,['так а че радоваться? все равно за счет нас все возместят себе']
21,427331004,"['""Там [в Европе] одни мигранты, грязь страшная"". В Госдуме РФ заявили, что российские чиновники и депутаты уже давно ""не в восторге"" от заграничного отдыха и шопинга, поэтому западные санкции точно не будут восприняты ими как катастрофа.']"
22,294686013,['Я думал цифры внушительнее будут.']
23,175901838,['Ужас ))) доширак небось теперь есть начнут ))']
24,424643917,['А зачем вообще признали ЛНР и ДНР? Я этого никак не пойму']
25,151695879,"['⚡️Youtube-канал Владимира Соловьева, твиттер, фейсбук и прочие соц.сети будут заблокированы в связи с персональными санкциями США.\n\nАналогичные санкции коснуться и Маргариту Симоньян']"
26,245962695,"['Не настолько, чтобы обнищать.']"
27,685416930,"['Ночные 3,14доры устроили мотопробег в честь ЛДНР.']"
28,408609229,"['Если только за счет новатэка, так это ж пузырь, все вернется в скором времени. Так себе новость)']"
29,633650240,"['Шот это, как то ну не очень смешно что ли']"
30,166526704,"['С праздником посоны!', 'А он вывез своих детей из за границы?']"
31,209700703,['Было бы смешнее если бы приносили в жертву Императору Человечества']
32,18505970,['И с днём защитника  не служил нимужик !']
33,15670962,['В этом хотя бы есть смысл']
34,575044457,"['👍🏻Присоединяюсь к пожеланию «Лентача»!👍🏻 Пусть не будет никаких повесток и никакой войны!… Тешу себя надеждой, основанной на том, что даже самые пессимистичные прогнозы указывают на то, что невольников (солдат-срочников) Путин отправлять на войну не рискнёт. Как обычно, для своих авантюр, он будет использовать контрактников, всяких идейных «борцов за русский мир», и прочих «вагнеровцев». Ну а покуда так, то с российской стороны – не будет невинных жертв, достойных какого-либо сочувствия. \n \nЭто я к тому, что если путинской агрессии против Украины суждено все-таки быть – то пусть будут благословенны «джевелины» и прочие «байрактары». Чем больше они сделают фарша из этих вторгшихся отморозков, и чем щедрее удобрят их ошмётками украинскую землю – тем лучше будет для всех нас…']"
35,702428733,"['Мне интересно, а на что у них теперь не будет хватать?', 'Что сожгли в этот раз?']"
36,241502347,"['Учитывая, что вчера в втором чтении одобрили новый законопроект о повестках...\nВот вообще не смешно']"
37,153034634,['https://prizyvanet.ru/']
